PARTICIPANT,OBSERVACIONS,IDENTIFICACIONS,ESPÈCIES
xasalva,766,2381,437
jaume-piera,265,503,99
yespi,232,54,64
ngoncubells,228,18,94
lauracoro,160,0,44
meme,159,0,36
vicent,150,17,60
andrea,138,89,50
manelsalvador,132,12,53
ealcaniz,125,130,32
romu_freediving_photography,121,0,73
mingokt,118,8,79
loreto_rodriguez,91,0,57
bertinhaco,86,371,63
elibonfill,55,4,41
nuriasireni,53,0,45
patopi,53,0,39
piripip,48,18,42
laiamanyer,43,0,27
elena_gomez_gomez,42,0,20
jastals,35,0,30
virginia_canet,34,0,29
juliavivero,32,0,11
amaliacardenas,31,2,25
marinatorresgi,25,0,19
mediambient_ajelprat,24,1,23
prema,23,0,19
gembio,20,0,15
lordmansio,18,0,13
francismpp,18,0,16
carlosrodero,17,1,17
lydiat,15,0,10
anyeve,13,0,12
ura4dive,12,0,8
sonialinan,12,0,9
agarcian53,12,0,9
martingargallo,11,0,8
martinacm,10,0,10
conxi,9,0,8
claudialazarof,9,0,9
elisabetd,7,0,7
emilyastr,6,0,6
bernatgel,6,0,3
meri,5,0,5
prdsoul,5,0,5
elisenda_casabona,5,0,4
cristi,4,0,4
susi,4,0,4
ricard,3,1,3
sergggio,3,0,1
ikerperez,3,0,1
anna_olive_abello,3,0,2
anasil,2,0,1
russellsimon,2,0,1
davidt,2,0,1
adrisoacha,1,0,1
oceanicos,1,0,1
nereavieitez,1,0,1
gkallis,1,0,1
gemmasola,1,0,1
pitubis,1,0,1
maria-josep,1,0,1
keco,1,0,1
